date,year,month,soi
 1893m8,1893,8,8
 1893m9,1893,9,6
1893m10,1893,10,8
1893m11,1893,11,3
1893m12,1893,12,2
 1894m1,1894,1,18
 1894m2,1894,2,10
 1894m3,1894,3,6
 1894m4,1894,4,-3
 1894m5,1894,5,-5
 1894m6,1894,6,-2
 1894m7,1894,7,-2
 1894m8,1894,8,-6
 1894m9,1894,9,-2
1894m10,1894,10,2
1894m11,1894,11,7
1894m12,1894,12,0
 1895m1,1895,1,6
 1895m2,1895,2,3
 1895m3,1895,3,0
 1895m4,1895,4,-7
 1895m5,1895,5,-8
 1895m6,1895,6,-5
 1895m7,1895,7,0
 1895m8,1895,8,-6
 1895m9,1895,9,-4
1895m10,1895,10,-6
1895m11,1895,11,-9
1895m12,1895,12,-4
 1896m1,1896,1,1
 1896m2,1896,2,5
 1896m3,1896,3,-6
 1896m4,1896,4,-9
 1896m5,1896,5,-42
 1896m6,1896,6,-31
 1896m7,1896,7,-21
 1896m8,1896,8,-22
 1896m9,1896,9,-19
1896m10,1896,10,-19
1896m11,1896,11,-12
1896m12,1896,12,-14
 1897m1,1897,1,-13
 1897m2,1897,2,-7
 1897m3,1897,3,-17
 1897m4,1897,4,-18
 1897m5,1897,5,-17
 1897m6,1897,6,0
 1897m7,1897,7,-2
 1897m8,1897,8,1
 1897m9,1897,9,0
1897m10,1897,10,2
1897m11,1897,11,-8
1897m12,1897,12,10
 1898m1,1898,1,7
 1898m2,1898,2,6
 1898m3,1898,3,19
 1898m4,1898,4,11
 1898m5,1898,5,-2
 1898m6,1898,6,-2
 1898m7,1898,7,6
 1898m8,1898,8,2
 1898m9,1898,9,3
1898m10,1898,10,-1
1898m11,1898,11,-3
1898m12,1898,12,0
 1899m1,1899,1,13
 1899m2,1899,2,9
 1899m3,1899,3,14
 1899m4,1899,4,5
 1899m5,1899,5,-7
 1899m6,1899,6,-10
 1899m7,1899,7,-6
 1899m8,1899,8,-10
 1899m9,1899,9,-2
1899m10,1899,10,6
1899m11,1899,11,16
1899m12,1899,12,-3
 1900m1,1900,1,-7
 1900m2,1900,2,-7
 1900m3,1900,3,-25
 1900m4,1900,4,-19
 1900m5,1900,5,-7
 1900m6,1900,6,26
 1900m7,1900,7,10
 1900m8,1900,8,8
 1900m9,1900,9,-17
1900m10,1900,10,-17
1900m11,1900,11,-6
1900m12,1900,12,-6
 1901m1,1901,1,0
 1901m2,1901,2,3
 1901m3,1901,3,9
 1901m4,1901,4,5
 1901m5,1901,5,0
 1901m6,1901,6,20
 1901m7,1901,7,15
 1901m8,1901,8,10
 1901m9,1901,9,-16
1901m10,1901,10,-22
1901m11,1901,11,-9
1901m12,1901,12,-2
 1902m1,1902,1,17
 1902m2,1902,2,-2
 1902m3,1902,3,12
 1902m4,1902,4,8
 1902m5,1902,5,8
 1902m6,1902,6,3
 1902m7,1902,7,2
 1902m8,1902,8,-9
 1902m9,1902,9,-18
1902m10,1902,10,-7
1902m11,1902,11,-3
1902m12,1902,12,-3
 1903m1,1903,1,-9
 1903m2,1903,2,-10
 1903m3,1903,3,18
 1903m4,1903,4,18
 1903m5,1903,5,8
 1903m6,1903,6,-1
 1903m7,1903,7,6
 1903m8,1903,8,0
 1903m9,1903,9,9
1903m10,1903,10,4
1903m11,1903,11,1
1903m12,1903,12,16
 1904m1,1904,1,14
 1904m2,1904,2,16
 1904m3,1904,3,9
 1904m4,1904,4,32
 1904m5,1904,5,9
 1904m6,1904,6,-7
 1904m7,1904,7,-9
 1904m8,1904,8,1
 1904m9,1904,9,0
1904m10,1904,10,1
1904m11,1904,11,-17
1904m12,1904,12,3
 1905m1,1905,1,-9
 1905m2,1905,2,-17
 1905m3,1905,3,-30
 1905m4,1905,4,-43
 1905m5,1905,5,-37
 1905m6,1905,6,-31
 1905m7,1905,7,-21
 1905m8,1905,8,-8
 1905m9,1905,9,-7
1905m10,1905,10,-6
1905m11,1905,11,-18
1905m12,1905,12,-13
 1906m1,1906,1,-4
 1906m2,1906,2,-7
 1906m3,1906,3,-5
 1906m4,1906,4,-9
 1906m5,1906,5,1
 1906m6,1906,6,-4
 1906m7,1906,7,7
 1906m8,1906,8,16
 1906m9,1906,9,18
1906m10,1906,10,9
1906m11,1906,11,22
1906m12,1906,12,5
 1907m1,1907,1,5
 1907m2,1907,2,2
 1907m3,1907,3,0
 1907m4,1907,4,5
 1907m5,1907,5,10
 1907m6,1907,6,8
 1907m7,1907,7,-4
 1907m8,1907,8,-8
 1907m9,1907,9,0
1907m10,1907,10,1
