round,dayname,day,month,year,time,home,away,venue,crowd,victoria,night,weekend,totmembers,rainfall,maxtemp,
20,Sat,3,8,2019,7:25pm,Melbourne,Richmond,MCG,37254,1,1,1,155779,0,14,
20,Sat,3,8,2019,7:25pm,Melbourne,Richmond,MCG,37254,1,1,1,155779,0,14,
20,Sun,4,8,2019,1:10pm,Collingwood,Gold Coast,MCG,33577,0,0,1,98875,1,13,
20,Sun,4,8,2019,1:10pm,Collingwood,Gold Coast,MCG,33577,0,0,1,98875,1,13,
21,Sat,10,8,2019,1:45pm,Melbourne,Collingwood,MCG,31903,1,0,1,137647,4,13,
21,Sat,10,8,2019,1:45pm,Melbourne,Collingwood,MCG,31903,1,0,1,137647,4,13,
21,Sun,11,8,2019,3:20pm,Richmond,Carlton,MCG,51039,1,0,1,167627,6,13,
21,Sun,11,8,2019,3:20pm,Richmond,Carlton,MCG,51039,1,0,1,167627,6,13,
22,Fri,16,8,2019,7:50pm,Melbourne,Sydney,MCG,23700,0,1,0,114333,0,17,
22,Fri,16,8,2019,7:50pm,Melbourne,Sydney,MCG,23700,0,1,0,114333,0,17,
22,Sat,17,8,2019,1:45pm,Carlton,St Kilda,MCG,51786,1,0,1,107307,4,17,
22,Sat,17,8,2019,1:45pm,Carlton,St Kilda,MCG,51786,1,0,1,107307,4,17,
22,Sun,18,8,2019,1:10pm,Richmond,West Coast,MCG,57415,0,0,1,193803,0,19,
22,Sun,18,8,2019,1:10pm,Richmond,West Coast,MCG,57415,0,0,1,193803,0,19,
23,Fri,23,8,2019,7:50pm,Collingwood,Essendon,MCG,85405,1,1,0,169463,0,15,
23,Fri,23,8,2019,7:50pm,Collingwood,Essendon,MCG,85405,1,1,0,169463,0,15,
23,Sun,25,8,2019,3:20pm,Richmond,Brisbane,MCG,76995,0,0,1,131381,1,13,
23,Sun,25,8,2019,3:20pm,Richmond,Brisbane,MCG,76995,0,0,1,131381,1,13,
